record_type,stamp_sec,cycle,vehicle_id,vehicle,cell_x,cell_y,slope,roughness,step,coarse_cost,n_points,interpolated,pose_status,status,roll_deg,pitch_deg,contact_points,stable,final_cost,success_count,collision_count,failure_count,skipped_cells
cell,3.205,1,1,wheeled car,7.25,9.25,0.47037369,0.863270462,1.16276848,1,0,1,2,success,19.7968558,-9.83324296,4,1,0.493834972,,,,
cell,3.205,1,2,tracked car,7.25,9.25,0.47037369,0.863270462,1.16276848,1,0,1,1,collision,0,0,8,0,1,,,,
cell,3.205,1,1,wheeled car,7.25,8.75,0.335308522,0.70463258,0.00237740576,0.347439528,8,0,2,success,18.9241195,-9.46858178,6,1,0.473211676,,,,
cell,3.205,1,2,tracked car,7.25,8.75,0.335308522,0.70463258,0.00237740576,0.347439528,8,0,2,success,25.4212697,-9.43838058,4,1,0.580994189,,,,
cell,3.205,1,1,wheeled car,7.25,8.25,0.302783668,0.22103256,0.62329638,0.382370859,1,0,0,failure_keep_coarse,13.7697367,-13.5791143,4,0,0.382370859,,,,
cell,3.205,1,2,tracked car,7.25,8.25,0.302783668,0.22103256,0.62329638,0.382370859,1,0,1,collision,0,0,5,0,1,,,,
cell,3.205,1,1,wheeled car,7.25,7.75,0.357547641,0.173451975,0.62329638,0.384765357,0,1,2,success,16.1968977,-7.92065654,4,1,0.40195924,,,,
cell,3.205,1,2,tracked car,7.25,7.75,0.357547641,0.173451975,0.62329638,0.384765357,0,1,1,collision,0,0,5,0,1,,,,
cell,3.205,1,1,wheeled car,6.75,12.25,0.547986567,0.341551781,nan,nan,0,0,1,collision,0,0,4,0,1,,,,
cell,3.205,1,2,tracked car,6.75,12.25,0.547986567,0.341551781,nan,nan,0,0,2,success,2.58581552,-25.0727379,11,1,0.460975885,,,,
cell,3.205,1,1,wheeled car,6.75,11.75,0.442758173,0.81289041,0.0253756344,0.427008063,0,1,0,failure_keep_coarse,23.3404384,-2.29119644,2,0,0.427008063,,,,
cell,3.205,1,2,tracked car,6.75,11.75,0.442758173,0.81289041,0.0253756344,0.427008063,0,1,1,collision,0,0,3,0,1,,,,
cell,3.205,1,1,wheeled car,6.75,10.25,0.473161817,0.884023845,1.16846514,1,0,1,2,success,18.906469,-20.8187174,5,1,0.662086427,,,,
cell,3.205,1,2,tracked car,6.75,10.25,0.473161817,0.884023845,1.16846514,1,0,1,1,collision,0,0,4,0,1,,,,
cell,3.205,1,1,wheeled car,6.75,9.75,0.471120328,0.865840912,1.16846514,1,0,1,1,collision,0,0,1,0,1,,,,
cell,3.205,1,2,tracked car,6.75,9.75,0.471120328,0.865840912,1.16846514,1,0,1,1,collision,0,0,2,0,1,,,,
cell,3.205,1,1,wheeled car,6.75,9.25,0.305086046,0.73342514,0.00216331333,0.346891493,5,0,1,collision,0,0,9,0,1,,,,
cell,3.205,1,2,tracked car,6.75,9.25,0.305086046,0.73342514,0.00216331333,0.346891493,5,0,2,success,5.63586222,-16.0521041,7,1,0.36146611,,,,
